  t=20.485294, Gx=-5.847328, Gy=-0.312977, Gz=0.152672, Ax=-0.496338, Ay=-0.790771, Az=0.283936
  t=20.532353, Gx=-5.870229, Gy=0.847328, Gz=-0.320611, Ax=-0.493896, Ay=-0.780518, Az=0.268066
  t=20.720588, Gx=-6.725191, Gy=0.137405, Gz=-0.404580, Ax=-0.489502, Ay=-0.781250, Az=0.271240
  t=20.720588, Gx=-5.358779, Gy=0.839695, Gz=0.106870, Ax=-0.489746, Ay=-0.781250, Az=0.285156
  t=20.014706, Gx=-5.503817, Gy=0.832061, Gz=0.106870, Ax=-0.486816, Ay=-0.782471, Az=0.271729
  t=20.861765, Gx=-6.335878, Gy=0.473282, Gz=-0.328244, Ax=-0.486084, Ay=-0.783691, Az=0.277100
  t=20.861765, Gx=-5.923664, Gy=0.435115, Gz=-0.274809, Ax=-0.486816, Ay=-0.783691, Az=0.281494
  t=20.861765, Gx=-5.900763, Gy=0.732824, Gz=-0.114504, Ax=-0.492920, Ay=-0.779785, Az=0.278320
  t=20.908824, Gx=-6.152672, Gy=0.320611, Gz=-0.572519, Ax=-0.488037, Ay=-0.783691, Az=0.278320
  t=21.002941, Gx=-6.007634, Gy=0.419847, Gz=-0.320611, Ax=-0.487305, Ay=-0.790527, Az=0.283447
  t=21.002941, Gx=-6.038168, Gy=0.427481, Gz=-0.175573, Ax=-0.484131, Ay=-0.779541, Az=0.279053
  t=21.050000, Gx=-6.053435, Gy=0.343511, Gz=-0.068702, Ax=-0.491455, Ay=-0.783447, Az=0.289795
  t=21.144118, Gx=-5.671756, Gy=-1.022901, Gz=-0.114504, Ax=-0.494385, Ay=-0.782715, Az=0.272461
  t=21.097059, Gx=-5.458015, Gy=0.595420, Gz=0.175573, Ax=-0.492188, Ay=-0.781006, Az=0.278809
  t=21.191176, Gx=-6.694656, Gy=0.335878, Gz=-0.351145, Ax=-0.489990, Ay=-0.782959, Az=0.267090
  t=21.238235, Gx=-8.480916, Gy=-1.206107, Gz=-1.389313, Ax=-0.485107, Ay=-0.784668, Az=0.260986
  t=21.332353, Gx=-4.541985, Gy=1.343511, Gz=0.488550, Ax=-0.483398, Ay=-0.783447, Az=0.279541
  t=20.720588, Gx=-6.564885, Gy=-0.473282, Gz=-0.251908, Ax=-0.486084, Ay=-0.786621, Az=0.260742
  t=21.379412, Gx=-5.221374, Gy=1.137405, Gz=0.290076, Ax=-0.486816, Ay=-0.782715, Az=0.286377
  t=21.567647, Gx=-5.679389, Gy=0.793893, Gz=-0.129771, Ax=-0.494629, Ay=-0.781494, Az=0.279785
  t=21.473529, Gx=-5.770992, Gy=0.938931, Gz=-0.221374, Ax=-0.496826, Ay=-0.781738, Az=0.270264
  t=21.473529, Gx=-6.671756, Gy=0.167939, Gz=-0.519084, Ax=-0.495605, Ay=-0.784180, Az=0.270996
  t=21.567647, Gx=-5.984733, Gy=1.076336, Gz=-0.335878, Ax=-0.492432, Ay=-0.771240, Az=0.278809
  t=21.567647, Gx=-6.030534, Gy=0.320611, Gz=-0.305344, Ax=-0.495361, Ay=-0.768311, Az=0.268066
  t=21.614706, Gx=-5.870229, Gy=0.389313, Gz=-0.290076, Ax=-0.491455, Ay=-0.779541, Az=0.271973
  t=21.708824, Gx=-3.923664, Gy=0.687023, Gz=0.045802, Ax=-0.489502, Ay=-0.781982, Az=0.271484
  t=21.755882, Gx=-5.801527, Gy=0.290076, Gz=-0.076336, Ax=-0.501465, Ay=-0.780029, Az=0.279541
  t=21.802941, Gx=-5.824427, Gy=0.503817, Gz=-0.015267, Ax=-0.489014, Ay=-0.786865, Az=0.270264
  t=21.897059, Gx=-6.183206, Gy=2.580153, Gz=-0.557252, Ax=-0.492676, Ay=-0.789795, Az=0.281006
