  t=43.308824, Gx=0.000000, Gy=1.541985, Gz=5.229008, Ax=1.752197, Ay=-2.000000, Az=-0.322998
  t=43.826471, Gx=23.488550, Gy=-11.473282, Gz=2.206107, Ax=0.451965, Ay=-0.980469, Az=-0.031555
  t=43.826471, Gx=-9.908397, Gy=19.320611, Gz=0.496183, Ax=0.393311, Ay=-0.968262, Az=-0.081360
  t=44.061765, Gx=-12.549618, Gy=2.458015, Gz=0.671756, Ax=0.425659, Ay=-0.966248, Az=-0.074829
  t=44.297059, Gx=-0.656489, Gy=-1.816794, Gz=0.595420, Ax=0.443359, Ay=-0.968140, Az=-0.053345
  t=44.673529, Gx=0.717557, Gy=-5.916031, Gz=0.519084, Ax=0.458740, Ay=-0.971313, Az=-0.035828
  t=44.673529, Gx=-6.534351, Gy=-2.946565, Gz=0.496183, Ax=0.392883, Ay=-0.962341, Az=-0.084961
  t=45.332353, Gx=-13.022901, Gy=3.076336, Gz=0.557252, Ax=0.447205, Ay=-0.971497, Az=-0.051880
  t=45.426471, Gx=-10.404580, Gy=-1.526718, Gz=0.595420, Ax=0.422668, Ay=-0.962280, Az=-0.080261
  t=44.814706, Gx=-8.152672, Gy=-3.198473, Gz=0.572519, Ax=0.471069, Ay=-0.972229, Az=-0.030579
  t=44.908824, Gx=15.488550, Gy=-2.389313, Gz=0.664122, Ax=0.444031, Ay=-0.971619, Az=-0.052063
  t=44.814706, Gx=14.900763, Gy=-0.274809, Gz=0.572519, Ax=0.430176, Ay=-0.966675, Az=-0.072876
  t=45.426471, Gx=12.000000, Gy=1.603053, Gz=0.572519, Ax=0.462463, Ay=-0.972351, Az=-0.039307
  t=44.814706, Gx=12.068702, Gy=1.900763, Gz=0.717557, Ax=0.426331, Ay=-0.965393, Az=-0.071838
  t=44.061765, Gx=0.251908, Gy=-3.259542, Gz=0.480916, Ax=0.454773, Ay=-0.971985, Az=-0.044495
  t=44.155882, Gx=0.190840, Gy=-1.946565, Gz=0.679389, Ax=0.438171, Ay=-0.970459, Az=-0.045959
  t=45.473529, Gx=7.908397, Gy=0.267176, Gz=0.526718, Ax=0.433167, Ay=-0.963684, Az=-0.064453
