Pressure : 1008.13301 hPa,  Temp : 31.07778 deg,  Hum : 66.02709 pct  
Pressure : 1008.15894 hPa,  Temp : 31.40454 deg,  Hum : 65.45464 pct  
Pressure : 1008.18715 hPa,  Temp : 31.40454 deg,  Hum : 65.22103 pct  
Pressure : 1008.15380 hPa,  Temp : 31.38412 deg,  Hum : 65.34847 pct  
Pressure : 1008.18715 hPa,  Temp : 31.40454 deg,  Hum : 65.56560 pct  
Pressure : 1008.26218 hPa,  Temp : 31.45049 deg,  Hum : 65.93009 pct  
Pressure : 1008.19934 hPa,  Temp : 31.48113 deg,  Hum : 66.13027 pct  
Pressure : 1008.18459 hPa,  Temp : 31.50665 deg,  Hum : 66.03234 pct  
Pressure : 1008.12816 hPa,  Temp : 31.50665 deg,  Hum : 65.40735 pct  
Pressure : 1008.19934 hPa,  Temp : 31.48113 deg,  Hum : 65.40019 pct  
Pressure : 1008.15958 hPa,  Temp : 31.49134 deg,  Hum : 65.77455 pct  
Pressure : 1008.16150 hPa,  Temp : 31.52708 deg,  Hum : 65.94581 pct  
Pressure : 1008.13519 hPa,  Temp : 31.56282 deg,  Hum : 66.05284 pct  
Pressure : 1008.22497 hPa,  Temp : 31.58324 deg,  Hum : 65.75015 pct  
Pressure : 1008.16400 hPa,  Temp : 31.64961 deg,  Hum : 65.95812 pct  
Pressure : 1008.20889 hPa,  Temp : 31.65983 deg,  Hum : 65.25163 pct  
Pressure : 1008.13578 hPa,  Temp : 31.64961 deg,  Hum : 65.02319 pct  
Pressure : 1008.16589 hPa,  Temp : 31.68535 deg,  Hum : 64.88473 pct  
Pressure : 1008.18900 hPa,  Temp : 31.66493 deg,  Hum : 64.70252 pct  
Pressure : 1008.15508 hPa,  Temp : 31.55771 deg,  Hum : 64.59782 pct  
Pressure : 1008.25640 hPa,  Temp : 31.56792 deg,  Hum : 64.60417 pct  
Pressure : 1008.22818 hPa,  Temp : 31.56792 deg,  Hum : 64.86129 pct  
Pressure : 1008.20187 hPa,  Temp : 31.60366 deg,  Hum : 65.23122 pct  
Pressure : 1008.19222 hPa,  Temp : 31.64961 deg,  Hum : 65.46732 pct  
Pressure : 1008.18578 hPa,  Temp : 31.68025 deg,  Hum : 65.51565 pct  
Pressure : 1008.21590 hPa,  Temp : 31.71599 deg,  Hum : 65.52334 pct  
Pressure : 1008.19789 hPa,  Temp : 31.75683 deg,  Hum : 65.40272 pct  
Pressure : 1008.25890 hPa,  Temp : 31.69046 deg,  Hum : 64.73887 pct  
Pressure : 1008.20509 hPa,  Temp : 31.58835 deg,  Hum : 64.31297 pct  
Pressure : 1008.21985 hPa,  Temp : 31.56282 deg,  Hum : 64.65067 pct  
Pressure : 1008.16532 hPa,  Temp : 31.59856 deg,  Hum : 65.09657 pct  
Pressure : 1008.19675 hPa,  Temp : 31.58324 deg,  Hum : 65.07242 pct  
Pressure : 1008.18520 hPa,  Temp : 31.59345 deg,  Hum : 64.93854 pct  
Pressure : 1008.14222 hPa,  Temp : 31.61898 deg,  Hum : 64.93983 pct  
Pressure : 1008.15245 hPa,  Temp : 31.65983 deg,  Hum : 65.12891 pct  
Pressure : 1008.20245 hPa,  Temp : 31.69046 deg,  Hum : 65.03695 pct  
Pressure : 1008.19601 hPa,  Temp : 31.72109 deg,  Hum : 64.81639 pct  
Pressure : 1008.21912 hPa,  Temp : 31.70067 deg,  Hum : 65.00240 pct  
Pressure : 1008.15945 hPa,  Temp : 31.71599 deg,  Hum : 64.89212 pct  
Pressure : 1008.13633 hPa,  Temp : 31.73641 deg,  Hum : 64.95745 pct  
Pressure : 1008.16321 hPa,  Temp : 31.78747 deg,  Hum : 64.82557 pct  
Pressure : 1008.14519 hPa,  Temp : 31.82831 deg,  Hum : 64.74576 pct  
Pressure : 1008.17528 hPa,  Temp : 31.86405 deg,  Hum : 64.75340 pct  
Pressure : 1008.16558 hPa,  Temp : 31.91000 deg,  Hum : 64.90773 pct  
Pressure : 1008.18410 hPa,  Temp : 31.95596 deg,  Hum : 65.45389 pct  
Pressure : 1008.12947 hPa,  Temp : 31.99169 deg,  Hum : 65.95860 pct  
Pressure : 1008.19752 hPa,  Temp : 31.98148 deg,  Hum : 65.21544 pct  
Pressure : 1008.14891 hPa,  Temp : 31.89979 deg,  Hum : 64.57974 pct  
Pressure : 1008.19057 hPa,  Temp : 31.92532 deg,  Hum : 64.88511 pct  
Pressure : 1008.13271 hPa,  Temp : 31.97638 deg,  Hum : 64.97540 pct  
Pressure : 1008.16743 hPa,  Temp : 31.94574 deg,  Hum : 64.94462 pct  
Pressure : 1008.07948 hPa,  Temp : 31.96106 deg,  Hum : 64.67636 pct  
Pressure : 1008.21557 hPa,  Temp : 31.94064 deg,  Hum : 64.47649 pct  
Pressure : 1008.21695 hPa,  Temp : 31.88958 deg,  Hum : 64.42134 pct  
Pressure : 1008.21695 hPa,  Temp : 31.88958 deg,  Hum : 64.77221 pct  
Pressure : 1008.20214 hPa,  Temp : 31.91511 deg,  Hum : 64.75595 pct  
Pressure : 1008.16234 hPa,  Temp : 31.92532 deg,  Hum : 64.76231 pct  
Pressure : 1008.13086 hPa,  Temp : 31.94064 deg,  Hum : 64.24838 pct  
Pressure : 1008.19567 hPa,  Temp : 31.94574 deg,  Hum : 64.68730 pct  
Pressure : 1008.12762 hPa,  Temp : 31.95596 deg,  Hum : 64.67026 pct  
Pressure : 1008.18733 hPa,  Temp : 31.94064 deg,  Hum : 64.10800 pct  
Pressure : 1008.19243 hPa,  Temp : 31.96106 deg,  Hum : 63.99199 pct  
Pressure : 1008.14938 hPa,  Temp : 31.98659 deg,  Hum : 64.28572 pct  
Pressure : 1008.11605 hPa,  Temp : 31.96617 deg,  Hum : 64.09754 pct  
Pressure : 1008.10448 hPa,  Temp : 31.97638 deg,  Hum : 64.42561 pct  
Pressure : 1008.08966 hPa,  Temp : 32.00191 deg,  Hum : 65.22233 pct  
Pressure : 1008.12762 hPa,  Temp : 31.95596 deg,  Hum : 64.08534 pct  
Pressure : 1008.09939 hPa,  Temp : 31.95596 deg,  Hum : 64.46555 pct  
Pressure : 1008.18224 hPa,  Temp : 31.92022 deg,  Hum : 64.06606 pct  
Pressure : 1008.16185 hPa,  Temp : 31.83852 deg,  Hum : 64.05041 pct  
Pressure : 1008.13175 hPa,  Temp : 31.80278 deg,  Hum : 64.23580 pct  
Pressure : 1008.16695 hPa,  Temp : 31.85895 deg,  Hum : 64.73560 pct  
Pressure : 1008.16372 hPa,  Temp : 31.87426 deg,  Hum : 64.96441 pct  
Pressure : 1008.13872 hPa,  Temp : 31.85895 deg,  Hum : 64.98702 pct  
Pressure : 1008.16372 hPa,  Temp : 31.87426 deg,  Hum : 64.72467 pct  
Pressure : 1008.13362 hPa,  Temp : 31.83852 deg,  Hum : 64.68780 pct  
Pressure : 1008.05030 hPa,  Temp : 31.78747 deg,  Hum : 64.50401 pct  
Pressure : 1008.03736 hPa,  Temp : 31.84874 deg,  Hum : 64.86372 pct  
Pressure : 1008.09568 hPa,  Temp : 31.88448 deg,  Hum : 65.21634 pct  
Pressure : 1008.12019 hPa,  Temp : 31.81300 deg,  Hum : 64.83854 pct  
Pressure : 1008.05402 hPa,  Temp : 31.85895 deg,  Hum : 65.37289 pct  
Pressure : 1008.06421 hPa,  Temp : 31.89979 deg,  Hum : 65.46269 pct  
Pressure : 1008.11281 hPa,  Temp : 31.98148 deg,  Hum : 66.22115 pct  
Pressure : 1008.12762 hPa,  Temp : 31.95596 deg,  Hum : 65.71116 pct  
Pressure : 1008.15586 hPa,  Temp : 31.95596 deg,  Hum : 65.68192 pct  
Pressure : 1008.08273 hPa,  Temp : 31.94574 deg,  Hum : 66.15495 pct  
