  t=36.532353, Gx=0.000000, Gy=0.000000, Gz=0.000000, Ax=0.000000, Ay=0.000000, Az=0.000000
  t=32.767647, Gx=-1.396947, Gy=-0.854962, Gz=-1.251908, Ax=-0.754395, Ay=-0.577637, Az=0.167480
  t=33.614706, Gx=-1.595420, Gy=-0.564885, Gz=-1.770992, Ax=-0.758057, Ay=-0.572998, Az=0.187012
  t=33.614706, Gx=-2.145038, Gy=1.931298, Gz=-1.068702, Ax=-0.761719, Ay=-0.579590, Az=0.184814
  t=33.755882, Gx=-1.618321, Gy=-0.885496, Gz=-1.374046, Ax=-0.760742, Ay=-0.573486, Az=0.166504
  t=33.897059, Gx=-1.748092, Gy=-0.152672, Gz=-1.091603, Ax=-0.752441, Ay=-0.562744, Az=0.173584
  t=33.802941, Gx=-2.770992, Gy=0.335878, Gz=-1.503817, Ax=-0.780273, Ay=-0.581543, Az=0.169189
  t=33.897059, Gx=-1.122137, Gy=-1.068702, Gz=-1.473282, Ax=-0.752197, Ay=-0.571289, Az=0.168213
  t=33.944118, Gx=-2.312977, Gy=0.045802, Gz=-1.022901, Ax=-0.758545, Ay=-0.575195, Az=0.177002
  t=33.897059, Gx=-1.969466, Gy=-0.236641, Gz=-1.068702, Ax=-0.760254, Ay=-0.574951, Az=0.168945
  t=34.038235, Gx=-1.885496, Gy=-0.381679, Gz=-1.221374, Ax=-0.757568, Ay=-0.575195, Az=0.166748
  t=34.085294, Gx=-2.022901, Gy=-0.244275, Gz=-1.167939, Ax=-0.763184, Ay=-0.577881, Az=0.172852
  t=34.085294, Gx=-1.885496, Gy=-0.259542, Gz=-0.923664, Ax=-0.757568, Ay=-0.563232, Az=0.162598
  t=34.132353, Gx=-1.862595, Gy=-0.274809, Gz=-1.221374, Ax=-0.760986, Ay=-0.571777, Az=0.160156
  t=34.085294, Gx=-3.862595, Gy=-0.328244, Gz=-1.038168, Ax=-0.763672, Ay=-0.578125, Az=0.184570
  t=34.179412, Gx=-1.412214, Gy=-1.000000, Gz=-1.152672, Ax=-0.757080, Ay=-0.571045, Az=0.168457
  t=34.932353, Gx=-0.175573, Gy=-1.908397, Gz=-0.946565, Ax=-0.750977, Ay=-0.567871, Az=0.168213
  t=34.226471, Gx=-2.236641, Gy=0.473282, Gz=-1.160305, Ax=-0.759766, Ay=-0.571289, Az=0.164307
  t=34.932353, Gx=-3.045802, Gy=2.702290, Gz=-1.122137, Ax=-0.775391, Ay=-0.575928, Az=0.160156
  t=34.226471, Gx=-1.740458, Gy=-0.595420, Gz=-1.137405, Ax=-0.762939, Ay=-0.587158, Az=0.157471
  t=34.226471, Gx=-1.732824, Gy=-0.961832, Gz=-1.282443, Ax=-0.759277, Ay=-0.571533, Az=0.187012
  t=34.320588, Gx=-1.748092, Gy=-0.381679, Gz=-1.297710, Ax=-0.757080, Ay=-0.577393, Az=0.170410
  t=34.932353, Gx=-1.633588, Gy=-0.465649, Gz=-1.106870, Ax=-0.760010, Ay=-0.564697, Az=0.172852
  t=34.273529, Gx=-0.083969, Gy=-0.213740, Gz=-1.175573, Ax=-0.762695, Ay=-0.562744, Az=0.163574
