  t=36.532353, Gx=0.000000, Gy=0.000000, Gz=0.000000, Ax=-0.104736, Ay=0.666260, Az=-0.642578
  t=34.414706, Gx=-18.480916, Gy=-2.824427, Gz=6.740458, Ax=-0.124756, Ay=0.616211, Az=-0.603760
  t=34.650000, Gx=46.961832, Gy=34.969466, Gz=-9.732824, Ax=-0.097168, Ay=0.600586, Az=-0.615234
  t=34.697059, Gx=90.839695, Gy=-134.740458, Gz=121.183206, Ax=-0.121826, Ay=0.440918, Az=-0.742432
  t=34.697059, Gx=-23.274809, Gy=66.000000, Gz=-57.122137, Ax=-0.349121, Ay=0.135498, Az=-0.864502
  t=34.838235, Gx=7.351145, Gy=8.274809, Gz=-7.091603, Ax=-0.437500, Ay=0.130859, Az=-0.794189
  t=34.885294, Gx=0.770992, Gy=-2.809160, Gz=8.465649, Ax=-0.284912, Ay=0.179443, Az=-0.755615
  t=34.885294, Gx=-0.366412, Gy=4.450382, Gz=12.381679, Ax=-0.225586, Ay=0.184814, Az=-0.906982
  t=34.838235, Gx=9.984733, Gy=42.572519, Gz=-29.610687, Ax=-0.420410, Ay=-0.022461, Az=-0.807129
  t=34.791176, Gx=24.664122, Gy=-117.419847, Gz=170.381679, Ax=-1.035645, Ay=0.359131, Az=-0.423828
  t=34.791176, Gx=-42.305344, Gy=-104.274809, Gz=176.572519, Ax=-0.821533, Ay=0.237549, Az=-0.839600
  t=34.650000, Gx=-5.816794, Gy=-19.030534, Gz=13.702290, Ax=-0.495605, Ay=0.145752, Az=-0.637207
  t=34.744118, Gx=-55.335878, Gy=-104.648855, Gz=56.847328, Ax=-0.544678, Ay=-0.019775, Az=-0.564941
  t=34.744118, Gx=27.229008, Gy=218.213740, Gz=-239.908397, Ax=-0.591553, Ay=0.101074, Az=-0.426270
  t=34.744118, Gx=-136.488550, Gy=-180.083969, Gz=94.740458, Ax=-0.719971, Ay=0.505615, Az=-0.100586
  t=34.744118, Gx=2.442748, Gy=49.687023, Gz=-48.603053, Ax=-0.257812, Ay=-0.123047, Az=-1.014404
  t=34.697059, Gx=0.137405, Gy=-6.954198, Gz=42.251908, Ax=-0.558594, Ay=-0.169189, Az=0.101074
  t=34.791176, Gx=-11.038168, Gy=250.129771, Gz=-250.137405, Ax=-1.162354, Ay=-0.142334, Az=0.827148
  t=34.791176, Gx=76.167939, Gy=-237.465649, Gz=154.923664, Ax=-0.730957, Ay=0.477051, Az=-1.255371
  t=34.885294, Gx=5.839695, Gy=-42.183206, Gz=30.488550, Ax=-0.322510, Ay=0.427979, Az=-0.514404
  t=34.791176, Gx=-62.442748, Gy=171.893130, Gz=-170.053435, Ax=-0.562988, Ay=0.605713, Az=-1.276367
  t=34.697059, Gx=-24.885496, Gy=-68.427481, Gz=168.709924, Ax=-1.070068, Ay=-0.104980, Az=0.083252
  t=34.602941, Gx=75.633588, Gy=-33.435115, Gz=-106.954198, Ax=-0.453613, Ay=0.402344, Az=-1.462402
  t=34.650000, Gx=40.419847, Gy=-113.236641, Gz=24.152672, Ax=-0.837158, Ay=0.376709, Az=-0.398682
  t=34.508824, Gx=6.816794, Gy=-8.694656, Gz=-0.687023, Ax=-0.375244, Ay=-0.406250, Az=-0.226807
  t=34.555882, Gx=-31.137405, Gy=41.312977, Gz=-14.259542, Ax=-0.718262, Ay=-0.459961, Az=0.154297
  t=34.508824, Gx=9.389313, Gy=-27.366412, Gz=1.786260, Ax=-0.410889, Ay=-0.392578, Az=-0.125977
  t=34.650000, Gx=9.603053, Gy=1.137405, Gz=-31.946565, Ax=-0.416260, Ay=0.247559, Az=-0.285400
  t=34.650000, Gx=24.740458, Gy=-45.129771, Gz=15.435115, Ax=-0.421387, Ay=-0.079590, Az=-0.720215
  t=34.508824, Gx=-17.351145, Gy=47.877863, Gz=-23.870229, Ax=-0.684082, Ay=0.140381, Az=-0.840576
  t=34.508824, Gx=-9.755725, Gy=-1.381679, Gz=37.946565, Ax=-0.639893, Ay=-0.087402, Az=-0.508301
  t=34.555882, Gx=-16.511450, Gy=51.320611, Gz=-32.496183, Ax=-0.705811, Ay=-0.262451, Az=-0.465332
  t=34.508824, Gx=2.832061, Gy=-64.488550, Gz=26.862595, Ax=-0.630127, Ay=0.018066, Az=-0.658447
  t=34.414706, Gx=3.488550, Gy=12.740458, Gz=-35.320611, Ax=-0.584961, Ay=-0.223877, Az=-0.487793
  t=34.226471, Gx=4.717557, Gy=-29.778626, Gz=12.854962, Ax=-0.547363, Ay=0.190674, Az=-0.679199
  t=34.226471, Gx=-7.122137, Gy=23.847328, Gz=-17.106870, Ax=-0.645020, Ay=-0.006836, Az=-0.676514
  t=34.132353, Gx=5.106870, Gy=-24.381679, Gz=5.038168, Ax=-0.524658, Ay=0.003906, Az=-0.524414
  t=34.085294, Gx=-4.198473, Gy=-9.290076, Gz=17.885496, Ax=-0.574951, Ay=0.119629, Az=-0.855225
  t=34.085294, Gx=14.045802, Gy=-11.145038, Gz=-22.083969, Ax=-0.628662, Ay=0.290283, Az=-0.838379
  t=34.085294, Gx=-7.809160, Gy=24.877863, Gz=-11.854962, Ax=-0.702881, Ay=-0.451172, Az=-0.094482
  t=34.038235, Gx=-27.068702, Gy=21.664122, Gz=47.114504, Ax=-0.365234, Ay=0.451416, Az=-0.848877
  t=34.038235, Gx=-19.641221, Gy=70.267176, Gz=-39.580153, Ax=-0.970459, Ay=-0.687012, Az=-0.085938
  t=33.897059, Gx=2.190840, Gy=-35.885496, Gz=34.175573, Ax=-0.609375, Ay=-0.015137, Az=-0.473389
  t=33.850000, Gx=7.038168, Gy=-7.770992, Gz=-7.061069, Ax=-0.540283, Ay=0.044189, Az=-0.429443
  t=33.944118, Gx=-15.320611, Gy=33.809160, Gz=-1.709924, Ax=-0.572266, Ay=0.261475, Az=-0.734131
  t=33.850000, Gx=6.389313, Gy=-29.030534, Gz=11.702290, Ax=-0.700195, Ay=0.168213, Az=-0.851562
  t=33.802941, Gx=-20.061069, Gy=36.832061, Gz=23.068702, Ax=-0.589355, Ay=-0.034668, Az=-0.482178
  t=33.614706, Gx=-18.748092, Gy=-45.511450, Gz=45.946565, Ax=-0.585938, Ay=-0.138428, Az=-0.243164
  t=33.520588, Gx=7.748092, Gy=19.541985, Gz=-34.099237, Ax=-0.655762, Ay=-0.312988, Az=-0.394043
  t=33.567647, Gx=-14.625954, Gy=10.198473, Gz=27.984733, Ax=-0.596436, Ay=0.660645, Az=-1.179688
  t=33.567647, Gx=3.465649, Gy=-16.175573, Gz=-13.183206, Ax=-0.692871, Ay=-0.035889, Az=-0.611816
  t=33.426471, Gx=-2.877863, Gy=15.740458, Gz=-25.106870, Ax=-0.630615, Ay=0.239258, Az=-1.091797
  t=33.379412, Gx=3.106870, Gy=-2.595420, Gz=-8.671756, Ax=-0.575684, Ay=-0.055176, Az=-0.524658
  t=33.379412, Gx=-21.496183, Gy=25.946565, Gz=16.687023, Ax=-0.569580, Ay=-0.071045, Az=-0.433350
  t=33.379412, Gx=-17.877863, Gy=28.603053, Gz=2.717557, Ax=-0.546875, Ay=0.120850, Az=-0.818604
  t=33.473529, Gx=-22.145038, Gy=29.778626, Gz=11.274809, Ax=-0.575928, Ay=0.209961, Az=-0.797607
  t=33.567647, Gx=-30.641221, Gy=34.793893, Gz=21.954198, Ax=-0.429199, Ay=0.247803, Az=-0.737061
  t=33.614706, Gx=21.290076, Gy=-41.549618, Gz=5.603053, Ax=-0.594482, Ay=-0.187500, Az=-0.071533
  t=33.614706, Gx=-0.877863, Gy=11.717557, Gz=-8.671756, Ax=-0.523438, Ay=-0.200928, Az=-0.235107
  t=33.567647, Gx=-22.587786, Gy=16.091603, Gz=61.900763, Ax=-0.841797, Ay=-0.092285, Az=-0.065186
  t=33.661765, Gx=-4.351145, Gy=124.816794, Gz=-121.557252, Ax=-0.171631, Ay=-0.453613, Az=0.024170
  t=33.567647, Gx=-36.198473, Gy=-52.068702, Gz=55.312977, Ax=-0.483887, Ay=-0.264893, Az=-0.002197
  t=33.755882, Gx=-54.053435, Gy=18.450382, Gz=-2.977099, Ax=-0.645508, Ay=0.100342, Az=-0.477783
  t=33.614706, Gx=-47.824427, Gy=-38.496183, Gz=27.763359, Ax=-0.755371, Ay=-0.267090, Az=-0.297607
  t=33.473529, Gx=11.564885, Gy=8.687023, Gz=-12.900763, Ax=-0.674316, Ay=-0.306885, Az=-0.108887
  t=33.473529, Gx=1.091603, Gy=-90.778626, Gz=104.557252, Ax=-0.619141, Ay=0.447510, Az=-1.322021
  t=33.332353, Gx=13.358779, Gy=51.122137, Gz=-73.732824, Ax=-0.502686, Ay=-0.135010, Az=-0.212158
  t=33.332353, Gx=-6.916031, Gy=7.465649, Gz=2.358779, Ax=-0.459473, Ay=-0.006836, Az=-0.747314
  t=33.426471, Gx=13.335878, Gy=-25.671756, Gz=-2.557252, Ax=-0.604736, Ay=0.561035, Az=-1.254150
  t=33.379412, Gx=5.206107, Gy=71.167939, Gz=-91.465649, Ax=-0.555664, Ay=-0.235352, Az=-0.336670
  t=34.179412, Gx=-21.862595, Gy=-39.786260, Gz=79.091603, Ax=-0.491943, Ay=0.155518, Az=-0.573242
  t=33.379412, Gx=36.129771, Gy=-11.076336, Gz=-29.160305, Ax=-0.677246, Ay=-0.168213, Az=-0.587402
  t=33.426471, Gx=-10.053435, Gy=29.274809, Gz=-8.770992, Ax=-0.724609, Ay=-0.226562, Az=-0.143066
  t=33.332353, Gx=14.687023, Gy=-90.641221, Gz=66.908397, Ax=-0.603760, Ay=0.548828, Az=-1.322998
  t=33.379412, Gx=30.969466, Gy=-13.625954, Gz=-71.580153, Ax=-0.582031, Ay=0.183105, Az=-0.701172
  t=33.191176, Gx=48.793893, Gy=-14.893130, Gz=-21.458015, Ax=-0.685303, Ay=-0.098389, Az=-0.448242
  t=33.238235, Gx=-28.503817, Gy=18.267176, Gz=32.114504, Ax=-0.516357, Ay=0.429932, Az=-1.166992
  t=33.144118, Gx=24.793893, Gy=-34.358779, Gz=-18.160305, Ax=-0.550537, Ay=0.224365, Az=-0.800293
  t=33.002941, Gx=-14.954198, Gy=8.679389, Gz=-0.083969, Ax=-0.430420, Ay=0.111328, Az=-0.652588
  t=33.050000, Gx=3.725191, Gy=-16.969466, Gz=7.763359, Ax=-0.523682, Ay=-0.287109, Az=-0.327637
  t=33.050000, Gx=14.213740, Gy=-25.687023, Gz=-3.244275, Ax=-0.501953, Ay=0.204590, Az=-0.715088
  t=32.955882, Gx=26.931298, Gy=-68.961832, Gz=30.679389, Ax=-0.406250, Ay=0.107666, Az=-0.843506
  t=33.144118, Gx=-34.908397, Gy=55.381679, Gz=-34.717557, Ax=-0.720947, Ay=0.185303, Az=-0.374268
  t=32.955882, Gx=9.778626, Gy=-45.954198, Gz=20.503817, Ax=-0.602051, Ay=-0.466309, Az=-0.566895
  t=33.097059, Gx=-16.587786, Gy=-2.374046, Gz=51.442748, Ax=-0.690186, Ay=0.024658, Az=-0.285400
  t=33.050000, Gx=-17.496183, Gy=61.213740, Gz=-57.740458, Ax=-0.467529, Ay=-0.037109, Az=-0.776367
  t=33.144118, Gx=14.793893, Gy=-16.496183, Gz=18.061069, Ax=-0.601807, Ay=0.054199, Az=-0.640137
  t=33.050000, Gx=-21.045802, Gy=38.938931, Gz=10.687023, Ax=-0.624756, Ay=-0.219482, Az=-0.464600
  t=33.097059, Gx=22.343511, Gy=-94.435115, Gz=25.816794, Ax=-0.484619, Ay=0.333008, Az=-0.903076
  t=33.097059, Gx=11.748092, Gy=9.160305, Gz=-27.969466, Ax=-0.775146, Ay=-0.080566, Az=-0.435791
  t=33.050000, Gx=-12.931298, Gy=-9.427481, Gz=27.297710, Ax=-0.720215, Ay=0.128906, Az=-0.688965
  t=33.002941, Gx=-8.267176, Gy=53.702290, Gz=-49.053435, Ax=-0.529785, Ay=0.333740, Az=-0.765137
  t=33.050000, Gx=6.534351, Gy=11.603053, Gz=-7.503817, Ax=-0.520264, Ay=0.263184, Az=-0.798584
  t=32.955882, Gx=8.702290, Gy=44.633588, Gz=-56.374046, Ax=-0.630859, Ay=0.091309, Az=-0.578857
  t=32.908824, Gx=2.687023, Gy=-14.618321, Gz=-10.175573, Ax=-0.752197, Ay=-0.464355, Az=-0.025879
  t=32.908824, Gx=-0.076336, Gy=8.709924, Gz=-27.343511, Ax=-0.594727, Ay=0.081543, Az=-0.945312
  t=32.955882, Gx=10.832061, Gy=-39.435115, Gz=10.534351, Ax=-0.925537, Ay=-0.716797, Az=0.543945
  t=32.814706, Gx=-0.389313, Gy=85.030534, Gz=-67.389313, Ax=-0.504639, Ay=-0.458008, Az=-0.730957
  t=32.814706, Gx=12.099237, Gy=-163.809160, Gz=171.839695, Ax=-0.510254, Ay=0.744385, Az=-0.876465
  t=32.720588, Gx=3.312977, Gy=86.931298, Gz=-87.106870, Ax=-0.501221, Ay=-0.220215, Az=-0.795898
  t=32.532353, Gx=-9.969466, Gy=35.244275, Gz=-30.229008, Ax=-0.617920, Ay=0.086182, Az=-0.456787
  t=32.532353, Gx=-3.908397, Gy=-31.480916, Gz=40.824427, Ax=-0.569092, Ay=0.225342, Az=-0.962891
  t=32.438235, Gx=-9.099237, Gy=27.977099, Gz=-15.923664, Ax=-0.681396, Ay=-0.288574, Az=-0.368652
  t=32.438235, Gx=3.419847, Gy=24.175573, Gz=-18.526718, Ax=-0.686279, Ay=-0.441650, Az=-0.138428
