accel:{'x': 0.092, 'y': -0.647, 'z': -0.858}, gyro:{'x': 3.944, 'y': -40.756, 'z': -6.058}, agnet:{'x': 19.309, 'y': 9.696, 'z': -25.559}
accel:{'x': 0.105, 'y': -0.58, 'z': -0.769}, gyro:{'x': 4.608, 'y': -32.074, 'z': -9.254}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.098, 'y': -0.645, 'z': -0.814}, gyro:{'x': -9.598, 'y': 15.976, 'z': -1.427}, agnet:{'x': 17.917, 'y': 11.107, 'z': -25.898}
accel:{'x': 0.06, 'y': -0.652, 'z': -0.833}, gyro:{'x': 2.67, 'y': 20.248, 'z': 13.626}, agnet:{'x': 16.352, 'y': 10.225, 'z': -28.437}
accel:{'x': 0.062, 'y': -0.603, 'z': -0.837}, gyro:{'x': 12.108, 'y': 5.905, 'z': -5.737}, agnet:{'x': 18.265, 'y': 11.107, 'z': -26.236}
accel:{'x': 0.145, 'y': -0.713, 'z': -0.862}, gyro:{'x': 5.775, 'y': 5.325, 'z': 2.151}, agnet:{'x': 20.005, 'y': 10.401, 'z': -25.559}
accel:{'x': 0.086, 'y': -0.606, 'z': -0.847}, gyro:{'x': 13.435, 'y': -6.081, 'z': 13.359}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.097, 'y': -0.612, 'z': -0.753}, gyro:{'x': -2.922, 'y': 3.456, 'z': -5.547}, agnet:{'x': 18.961, 'y': 11.107, 'z': -25.221}
accel:{'x': 0.122, 'y': -0.673, 'z': -0.866}, gyro:{'x': 0.954, 'y': 21.057, 'z': -7.37}, agnet:{'x': 19.831, 'y': 10.93, 'z': -23.697}
accel:{'x': 0.085, 'y': -0.773, 'z': -1.006}, gyro:{'x': -10.803, 'y': -20.828, 'z': 1.572}, agnet:{'x': 19.309, 'y': 11.107, 'z': -22.851}
accel:{'x': 0.061, 'y': -0.653, 'z': -0.815}, gyro:{'x': 7.05, 'y': -48.485, 'z': 1.007}, agnet:{'x': 20.179, 'y': 13.398, 'z': -24.713}
accel:{'x': 0.048, 'y': -0.521, 'z': -0.698}, gyro:{'x': -9.308, 'y': 16.144, 'z': -9.186}, agnet:{'x': 18.613, 'y': 12.164, 'z': -27.252}
accel:{'x': 0.12, 'y': -0.659, 'z': -0.811}, gyro:{'x': -14.702, 'y': 72.906, 'z': -3.693}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.196, 'y': -0.643, 'z': -1.005}, gyro:{'x': 10.231, 'y': 10.994, 'z': 4.272}, agnet:{'x': 17.569, 'y': 11.107, 'z': -24.544}
accel:{'x': 0.106, 'y': -0.648, 'z': -0.773}, gyro:{'x': 12.955, 'y': -56.305, 'z': -1.274}, agnet:{'x': 18.091, 'y': 9.873, 'z': -23.02}
accel:{'x': 0.054, 'y': -0.654, 'z': -0.812}, gyro:{'x': -14.656, 'y': -21.202, 'z': -19.791}, agnet:{'x': 19.135, 'y': 11.635, 'z': -26.744}
accel:{'x': 0.134, 'y': -0.679, 'z': -0.877}, gyro:{'x': -52.834, 'y': -24.101, 'z': -12.199}, agnet:{'x': 16.004, 'y': 10.578, 'z': -29.114}
accel:{'x': 0.002, 'y': -0.635, 'z': -0.818}, gyro:{'x': -30.266, 'y': -19.699, 'z': -22.873}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.039, 'y': -0.609, 'z': -0.803}, gyro:{'x': 1.045, 'y': 10.811, 'z': -18.547}, agnet:{'x': 13.742, 'y': 10.049, 'z': -33.346}
accel:{'x': 0.065, 'y': -0.488, 'z': -0.706}, gyro:{'x': 40.71, 'y': 65.895, 'z': -3.181}, agnet:{'x': 11.655, 'y': 8.638, 'z': -33.346}
accel:{'x': 0.326, 'y': -0.319, 'z': -1.258}, gyro:{'x': -39.543, 'y': 88.104, 'z': 58.823}, agnet:{'x': 13.22, 'y': 5.994, 'z': -27.083}
accel:{'x': 0.336, 'y': -0.684, 'z': -0.902}, gyro:{'x': 79.109, 'y': -87.921, 'z': -85.716}, agnet:{'x': 19.657, 'y': 9.696, 'z': -19.466}
accel:{'x': 0.099, 'y': -0.268, 'z': -1.245}, gyro:{'x': 30.983, 'y': -57.35, 'z': -132.401}, agnet:{'x': 0, 'y': 0, 'z': 0}
accel:{'x': 0.436, 'y': -0.686, 'z': -0.595}, gyro:{'x': 29.503, 'y': -48.241, 'z': -77.843}, agnet:{'x': 11.481, 'y': 3.526, 'z': -29.452}
accel:{'x': 0.37, 'y': -0.506, 'z': -0.992}, gyro:{'x': -89.928, 'y': -48.988, 'z': -141.891}, agnet:{'x': 4.523, 'y': 0.353, 'z': -29.791}
